distance_km,past_donations,responsiveness,target_score
16.6,15,0.62,99
37.9,11,0.21,68
10.8,12,0.6,99
20.9,15,0.89,99
27.6,10,0.46,86
39.1,5,0.23,55
23.1,1,0.68,78
20.3,12,0.12,95
38.6,6,0.72,65
38.7,1,0.66,54
13.7,7,0.49,99
11.1,13,0.41,99
6.3,0,0.59,99
25.3,3,0.14,70
34.5,1,0.98,65
17.5,4,0.62,91
28.0,14,0.76,97
22.7,6,0.5,85
18.6,4,0.86,93
16.0,15,0.78,99
38.1,12,0.77,78
15.1,14,0.28,99
38.6,11,0.69,74
9.3,6,0.19,99
26.0,8,0.8,89
28.8,0,0.99,72
34.3,3,0.37,60
15.9,10,0.8,99
3.1,1,0.93,99
20.1,0,0.37,75
18.8,14,0.59,99
11.9,6,0.4,99
24.9,15,0.32,97
38.8,3,0.61,57
15.1,10,0.18,99
19.8,3,0.21,79
37.1,7,0.38,64
8.4,2,0.56,99
14.6,11,0.84,99
5.7,0,0.24,95
9.1,9,0.2,99
11.0,11,0.42,99
5.3,4,0.34,99
21.1,7,0.59,91
30.8,12,0.54,86
11.3,6,0.51,99
18.6,0,0.12,74
20.5,12,0.8,99
38.0,0,0.59,52
15.7,15,0.25,99
39.5,4,0.72,60
13.7,4,0.67,98
39.2,5,0.17,54
20.0,1,0.37,78
23.5,6,0.11,78
20.3,10,0.96,99
6.8,10,1.0,99
36.4,3,0.34,57
5.1,0,0.92,99
15.0,10,0.5,99
14.1,7,0.86,99
33.7,6,0.59,70
15.5,1,0.97,93
23.7,1,0.71,77
15.2,1,0.62,88
9.4,10,0.98,99
2.3,14,0.93,99
33.4,12,0.6,83
6.1,8,0.8,99
9.9,14,0.13,99
1.3,9,0.23,99
15.9,4,0.48,91
34.8,15,0.33,83
1.9,1,0.24,99
3.5,6,0.59,99
13.0,12,0.73,99
16.6,4,0.8,95
4.4,2,0.66,99
28.8,0,0.55,65
2.4,1,0.61,99
4.9,6,0.79,99
38.1,6,0.97,69
7.9,3,0.6,99
39.5,1,0.88,56
13.4,8,0.25,99
24.0,6,0.51,84
9.5,3,0.28,96
20.7,13,0.35,99
39.9,3,0.52,54
28.2,5,0.85,80
39.8,13,0.17,69
7.8,2,0.64,99
14.5,2,0.69,93
36.1,0,0.98,61
36.7,11,0.12,69
13.6,8,0.38,99
38.5,7,0.32,61
19.6,12,0.14,97
19.2,3,0.88,90
12.9,5,0.45,97
1.3,10,0.29,99
5.7,7,0.59,99
23.9,4,0.99,87
23.7,8,0.89,94
17.7,7,0.99,99
38.5,11,0.71,75
35.7,2,0.43,57
26.7,12,0.47,91
20.0,4,0.53,86
29.9,0,0.16,58
21.2,6,0.56,89
32.8,5,0.18,64
16.6,10,0.31,99
25.5,6,0.62,83
28.2,3,0.89,77
29.5,5,0.73,77
16.5,10,0.48,99
27.4,9,0.93,91
30.7,5,0.27,68
26.2,0,0.77,72
2.2,6,0.52,99
14.6,14,0.38,99
28.9,14,0.18,87
15.7,10,0.45,99
34.6,15,0.28,82
26.0,5,0.79,83
14.4,7,0.56,99
37.9,11,0.53,73
3.5,4,0.39,99
24.7,11,0.15,87
22.9,0,0.58,74
33.5,11,0.62,81
24.4,5,0.51,81
30.7,14,0.37,88
1.1,9,0.39,99
25.8,13,0.68,98
39.8,12,0.77,76
7.5,12,0.78,99
3.5,5,0.16,99
30.0,0,0.86,68
11.7,11,0.25,99
17.6,7,0.33,93
22.8,12,0.81,99
20.0,7,0.65,94
23.2,0,0.55,73
35.5,6,0.61,68
29.0,12,0.95,95
25.9,6,0.66,83
14.2,3,0.59,94
20.8,6,0.69,91
33.3,13,0.26,80
29.3,7,0.31,75
24.3,14,0.81,99
4.7,9,0.8,99
18.6,8,0.62,97
32.9,2,0.86,68
23.6,15,0.27,99
32.6,7,0.68,75
11.5,5,0.44,99
37.9,9,0.83,74
16.5,3,0.17,84
19.0,0,0.91,85
37.2,14,0.97,87
23.7,14,0.69,99
27.6,6,0.95,85
39.0,0,0.47,49
16.4,3,0.18,84
22.1,2,0.79,83
32.3,11,0.68,84
32.5,2,0.6,64
21.2,3,0.5,82
3.6,5,0.35,99
19.5,5,0.86,94
5.1,6,0.39,99
15.9,7,0.79,99
27.8,12,0.86,95
13.8,10,0.69,99
26.8,3,0.61,75
29.3,5,0.51,74
35.0,7,0.89,75
38.9,7,0.63,65
22.8,5,0.43,82
13.2,0,0.61,89
4.3,5,0.99,99
19.8,2,0.49,82
35.7,11,0.6,77
29.0,10,0.86,89
31.1,2,0.43,64
34.3,4,0.56,65
27.4,0,0.78,71
8.6,13,0.4,99
20.9,10,1.0,99
17.1,12,0.32,99
38.0,15,0.46,80
21.6,2,0.71,82
18.0,5,0.44,90
4.0,0,0.42,99
34.0,7,0.32,68
21.0,11,0.15,93
11.8,5,0.97,99
